w1,w2,count,support
N04,N29,18,0.014693877551020407
N04,N41,18,0.014693877551020407
N04,N43,18,0.014693877551020407
N05,N17,18,0.014693877551020407
N05,N22,18,0.014693877551020407
N05,N25,18,0.014693877551020407
N06,N10,18,0.014693877551020407
N06,N24,18,0.014693877551020407
N06,N41,18,0.014693877551020407
N07,N17,18,0.014693877551020407
N07,N34,18,0.014693877551020407
N07,N35,18,0.014693877551020407
N07,N41,18,0.014693877551020407
N07,N44,18,0.014693877551020407
N07,N45,18,0.014693877551020407
N08,N15,18,0.014693877551020407
N08,N25,18,0.014693877551020407
N08,N35,18,0.014693877551020407
N09,N27,18,0.014693877551020407
N09,N28,18,0.014693877551020407
N09,N35,18,0.014693877551020407
N09,N38,18,0.014693877551020407
N10,N28,18,0.014693877551020407
N10,N32,18,0.014693877551020407
N11,N31,18,0.014693877551020407
N11,N41,18,0.014693877551020407
N11,N45,18,0.014693877551020407
N12,N21,18,0.014693877551020407
N12,N31,18,0.014693877551020407
N13,N19,18,0.014693877551020407
N13,N41,18,0.014693877551020407
N14,N20,18,0.014693877551020407
N14,N25,18,0.014693877551020407
N14,N44,18,0.014693877551020407
N15,N17,18,0.014693877551020407
N15,N27,18,0.014693877551020407
N15,N28,18,0.014693877551020407
N15,N41,18,0.014693877551020407
N15,N44,18,0.014693877551020407
N16,N17,18,0.014693877551020407
N16,N26,18,0.014693877551020407
N16,N27,18,0.014693877551020407
N16,N39,18,0.014693877551020407
N17,N24,18,0.014693877551020407
N17,N26,18,0.014693877551020407
N17,N29,18,0.014693877551020407
N17,N37,18,0.014693877551020407
N18,N29,18,0.014693877551020407
N18,N35,18,0.014693877551020407
N19,N32,18,0.014693877551020407
N19,N40,18,0.014693877551020407
N20,N27,18,0.014693877551020407
N20,N28,18,0.014693877551020407
N20,N31,18,0.014693877551020407
N20,N40,18,0.014693877551020407
N20,N43,18,0.014693877551020407
N21,N41,18,0.014693877551020407
N21,N43,18,0.014693877551020407
N22,N28,18,0.014693877551020407
N23,N25,18,0.014693877551020407
N23,N29,18,0.014693877551020407
N23,N38,18,0.014693877551020407
N23,N39,18,0.014693877551020407
N23,N40,18,0.014693877551020407
N24,N36,18,0.014693877551020407
N24,N38,18,0.014693877551020407
N24,N39,18,0.014693877551020407
N24,N42,18,0.014693877551020407
N25,N27,18,0.014693877551020407
N25,N28,18,0.014693877551020407
N25,N31,18,0.014693877551020407
N25,N38,18,0.014693877551020407
N25,N43,18,0.014693877551020407
N26,N28,18,0.014693877551020407
N26,N30,18,0.014693877551020407
N26,N44,18,0.014693877551020407
N27,N30,18,0.014693877551020407
N28,N36,18,0.014693877551020407
N29,N31,18,0.014693877551020407
N29,N39,18,0.014693877551020407
N29,N43,18,0.014693877551020407
N29,N45,18,0.014693877551020407
N32,N34,18,0.014693877551020407
N32,N42,18,0.014693877551020407
N33,N34,18,0.014693877551020407
N34,N36,18,0.014693877551020407
N34,N38,18,0.014693877551020407
N35,N38,18,0.014693877551020407
N35,N44,18,0.014693877551020407
N36,N44,18,0.014693877551020407
N38,N43,18,0.014693877551020407
N38,N44,18,0.014693877551020407
N41,N43,18,0.014693877551020407
N01,N15,17,0.013877551020408163
N01,N39,17,0.013877551020408163
N01,N43,17,0.013877551020408163
N02,N13,17,0.013877551020408163
N02,N24,17,0.013877551020408163
N02,N31,17,0.013877551020408163
N02,N42,17,0.013877551020408163
N02,N43,17,0.013877551020408163
N03,N06,17,0.013877551020408163
N03,N39,17,0.013877551020408163
N03,N41,17,0.013877551020408163
N04,N14,17,0.013877551020408163
N04,N28,17,0.013877551020408163
N04,N31,17,0.013877551020408163
N04,N42,17,0.013877551020408163
N05,N29,17,0.013877551020408163
N05,N30,17,0.013877551020408163
N05,N37,17,0.013877551020408163
N05,N44,17,0.013877551020408163
N06,N15,17,0.013877551020408163
N06,N35,17,0.013877551020408163
N06,N36,17,0.013877551020408163
N06,N43,17,0.013877551020408163
N07,N23,17,0.013877551020408163
N08,N14,17,0.013877551020408163
N08,N34,17,0.013877551020408163
N08,N42,17,0.013877551020408163
N09,N17,17,0.013877551020408163
N09,N18,17,0.013877551020408163
N09,N24,17,0.013877551020408163
N09,N37,17,0.013877551020408163
N10,N11,17,0.013877551020408163
N10,N34,17,0.013877551020408163
N10,N41,17,0.013877551020408163
N11,N29,17,0.013877551020408163
N11,N38,17,0.013877551020408163
N12,N23,17,0.013877551020408163
N12,N27,17,0.013877551020408163
N12,N30,17,0.013877551020408163
